synthetic,date,operator_id,task_type,tonnes,distance_m,operator_experience_yrs,terrain,weather,recent_cycle_s,duration_min
1,2026-07-01,OP-101,stockpile,106.878,123.058,12,soft,clear,33.291,9.581
1,2026-07-01,OP-101,stockpile,307.899,72.803,12,soft,clear,35.451,31.411
1,2026-07-01,OP-101,stockpile,177.644,36.349,12,soft,clear,31.357,11.312
1,2026-07-01,OP-101,stockpile,213.697,29.393,12,soft,clear,34.124,16.497
1,2026-07-01,OP-101,stockpile,271.413,85.793,12,soft,clear,33.491,21.113
1,2026-07-01,OP-101,stockpile,65.277,156.735,12,soft,clear,30.359,7.675
1,2026-07-01,OP-101,stockpile,218.954,146.393,12,soft,clear,32.491,17.303
1,2026-07-01,OP-101,stockpile,206.025,140.937,12,soft,clear,33.335,19.515
1,2026-07-01,OP-101,stockpile,292.591,117.709,12,soft,clear,32.835,24.895
1,2026-07-01,OP-101,stockpile,258.657,52.709,12,soft,clear,34.968,19.174
1,2026-07-02,OP-101,trenching,388.636,11.228,12,firm,clear,39.956,54.728
1,2026-07-02,OP-101,trenching,76.455,56.578,12,firm,clear,44.649,12.561
1,2026-07-02,OP-101,trenching,332.559,2.035,12,firm,clear,36.56,45.241
1,2026-07-02,OP-101,trenching,86.159,22.259,12,firm,clear,39.531,14.729
1,2026-07-02,OP-101,trenching,162.604,93.893,12,firm,clear,42.061,21.832
1,2026-07-02,OP-101,trenching,181.819,120.796,12,firm,clear,39.743,30.253
1,2026-07-02,OP-101,trenching,121.247,22.324,12,firm,clear,41.709,20.037
1,2026-07-02,OP-101,trenching,210.186,21.073,12,firm,clear,43.784,31.764
1,2026-07-02,OP-101,trenching,57.064,53.048,12,firm,clear,39.552,6.676
1,2026-07-02,OP-101,trenching,247.437,73.407,12,firm,clear,39.275,35.642
1,2026-07-03,OP-101,stockpile,271.144,149.031,12,rocky,clear,37.197,28.527
1,2026-07-03,OP-101,stockpile,224.796,121.63,12,rocky,clear,36.958,25.099
1,2026-07-03,OP-101,stockpile,259.256,8.526,12,rocky,clear,36.265,21.948
1,2026-07-03,OP-101,stockpile,155.238,65.295,12,rocky,clear,33.766,11.552
1,2026-07-03,OP-101,stockpile,214.122,154.164,12,rocky,clear,38.134,23.728
1,2026-07-03,OP-101,stockpile,223.584,13.925,12,rocky,clear,38.694,19.647
1,2026-07-03,OP-101,stockpile,71.146,141.708,12,rocky,clear,41.93,11.198
1,2026-07-03,OP-101,stockpile,340.372,25.761,12,rocky,clear,35.994,27.691
1,2026-07-03,OP-101,stockpile,385.745,63.816,12,rocky,clear,37.595,34.785
1,2026-07-03,OP-101,stockpile,102.683,13.419,12,rocky,clear,33.429,7.384
1,2026-07-04,OP-101,stockpile,389.736,95.186,12,firm,clear,28.667,30.651
1,2026-07-04,OP-101,stockpile,96.279,0.446,12,firm,clear,29.77,6.089
1,2026-07-04,OP-101,stockpile,284.483,10.667,12,firm,clear,29.43,21.402
1,2026-07-04,OP-101,stockpile,406.371,74.64,12,firm,clear,32.265,28.137
1,2026-07-04,OP-101,stockpile,96.311,32.03,12,firm,clear,30.661,8.081
1,2026-07-04,OP-101,stockpile,61.358,129.248,12,firm,clear,29.081,4.729
1,2026-07-04,OP-101,stockpile,363.344,131.846,12,firm,clear,31.145,28.041
1,2026-07-04,OP-101,stockpile,363.262,127.738,12,firm,clear,34.515,27.042
1,2026-07-04,OP-101,stockpile,212.387,53.663,12,firm,clear,30.28,16.99
1,2026-07-04,OP-101,stockpile,205.315,153.011,12,firm,clear,28.63,17.915
1,2026-07-05,OP-101,load_truck,189.072,89.126,12,soft,clear,38.336,20.537
1,2026-07-05,OP-101,load_truck,404.803,79.801,12,soft,clear,34.649,36.751
1,2026-07-05,OP-101,load_truck,55.564,84.416,12,soft,clear,35.189,7.386
1,2026-07-05,OP-101,load_truck,248.644,88.768,12,soft,clear,38.252,27.337
1,2026-07-05,OP-101,load_truck,327.847,74.179,12,soft,clear,37.552,39.28
1,2026-07-05,OP-101,load_truck,136.451,78.154,12,soft,clear,40.37,15.134
1,2026-07-05,OP-101,load_truck,241.527,104.625,12,soft,clear,37.471,26.618
1,2026-07-05,OP-101,load_truck,174.457,124.167,12,soft,clear,38.23,19.509
1,2026-07-05,OP-101,load_truck,325.68,48.888,12,soft,clear,41.355,41.193
1,2026-07-05,OP-101,load_truck,78.081,41.563,12,soft,clear,38.159,11.012
1,2026-07-06,OP-101,grading,294.766,112.533,12,firm,clear,41.051,60.279
1,2026-07-06,OP-101,grading,305.609,11.554,12,firm,clear,42.385,64.639
1,2026-07-06,OP-101,grading,233.383,14.468,12,firm,clear,48.325,50.673
1,2026-07-06,OP-101,grading,59.906,124.858,12,firm,clear,42.576,14.366
1,2026-07-06,OP-101,grading,362.133,60.797,12,firm,clear,45.587,69.961
1,2026-07-06,OP-101,grading,136.56,67.824,12,firm,clear,44.387,27.617
1,2026-07-06,OP-101,grading,108.497,79.733,12,firm,clear,45.595,26.32
1,2026-07-06,OP-101,grading,301.753,131.384,12,firm,clear,44.375,62.456
1,2026-07-06,OP-101,grading,387.874,100.254,12,firm,clear,43.497,76.644
1,2026-07-06,OP-101,grading,412.909,152.13,12,firm,clear,47.0,81.829
1,2026-07-07,OP-101,stockpile,372.627,50.198,12,firm,clear,29.06,23.62
1,2026-07-07,OP-101,stockpile,182.293,42.638,12,firm,clear,30.193,14.512
1,2026-07-07,OP-101,stockpile,414.052,130.561,12,firm,clear,30.081,29.435
1,2026-07-07,OP-101,stockpile,406.897,145.662,12,firm,clear,31.645,33.546
1,2026-07-07,OP-101,stockpile,64.519,19.511,12,firm,clear,28.717,8.067
1,2026-07-07,OP-101,stockpile,282.528,107.646,12,firm,clear,30.875,22.4
1,2026-07-07,OP-101,stockpile,52.611,33.89,12,firm,clear,32.243,3.698
1,2026-07-07,OP-101,stockpile,353.671,105.702,12,firm,clear,30.788,26.446
1,2026-07-07,OP-101,stockpile,367.709,110.794,12,firm,clear,33.313,30.363
1,2026-07-07,OP-101,stockpile,356.973,14.473,12,firm,clear,30.782,24.546
1,2026-07-08,OP-101,stockpile,36.689,61.645,12,firm,heat,31.137,3.571
1,2026-07-08,OP-101,stockpile,238.42,135.379,12,firm,heat,30.668,20.662
