synthetic,date,machine_id,operator_id,weather,task_type,terrain,state,rpm,fuel_rate_lph,hyd_temp,speed_kmh,idle_min,payload_t,cycle_s
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1452.72,18.225,65.68,0.0,0.0,7.259,31.835
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1509.391,18.983,61.139,0.0,0.0,7.995,32.38
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1399.347,15.4,60.421,0.0,0.0,7.55,35.035
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1403.953,17.722,62.626,0.0,0.0,7.948,33.158
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1477.09,16.78,62.044,0.0,0.0,7.862,32.545
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1543.654,19.26,64.769,0.0,0.0,7.359,32.0
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1486.628,17.235,63.152,0.0,0.0,7.835,33.407
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1531.563,18.439,67.001,0.0,0.0,7.865,30.51
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1484.471,18.348,64.366,0.0,0.0,8.115,31.212
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1566.311,19.802,62.073,0.0,0.0,7.431,34.979
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1445.242,19.054,65.29,0.0,0.0,7.693,31.237
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1518.814,18.476,62.805,0.0,0.0,6.712,32.029
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1460.367,17.979,66.047,0.0,0.0,7.599,35.023
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1501.155,18.547,60.772,0.0,0.0,7.734,33.019
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1549.968,19.348,64.337,0.0,0.0,8.157,32.737
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1479.676,17.076,63.693,0.0,0.0,8.119,35.755
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1461.731,18.452,67.49,0.0,0.0,7.309,29.525
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1492.324,18.46,62.588,0.0,0.0,8.069,32.373
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1417.979,17.764,60.891,0.0,0.0,7.757,34.681
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1538.324,19.327,61.818,0.0,0.0,7.905,31.901
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1412.116,15.31,64.693,0.0,0.0,7.998,29.601
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1429.27,18.01,59.926,0.0,0.0,8.225,35.159
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1476.052,18.275,61.05,0.0,0.0,7.65,36.542
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1476.929,17.773,60.445,0.0,0.0,7.367,32.537
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1537.955,18.461,62.347,0.0,0.0,7.807,33.321
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1457.484,16.702,61.386,0.0,0.0,7.636,33.648
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1416.754,19.257,60.092,0.0,0.0,7.984,32.278
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1374.339,17.153,63.143,0.0,0.0,8.201,32.357
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1447.642,16.876,60.568,3.679,0.0,7.722,34.55
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1477.973,17.916,64.26,2.428,0.0,7.559,34.221
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1550.59,19.803,61.873,0.0,0.0,8.172,33.677
1,2026-07-01,CAT320-042,OP-101,clear,stockpile,soft,working,1537.987,19.821,64.563,0.0,0.0,7.723,35.548
